Provinsi,2003,2004
ACEH,348232,346305
SUMATERA UTARA,538180,502839
SUMATERA BARAT,225369,231939
RIAU,128225,125966
JAMBI,120552,122126
SUMATERA SELATAN,512510,474429
BENGKULU,88432,85641
LAMPUNG,303380,316017
KEP. BANGKA BELITUNG,3186,3773
KEP. RIAU,-,-
DKI JAKARTA,2738,2563
JAWA BARAT,934140,932337
JAWA TENGAH,995469,996197
DI YOGYAKARTA,57612,56982
JAWA TIMUR,1115239,1108361
BANTEN,207530,196589
BALI,81870,81557
NUSA TENGGARA BARAT,226627,222968
NUSA TENGGARA TIMUR,103341,109070
KALIMANTAN BARAT,253316,283021
KALIMANTAN TENGAH,156645,167776
KALIMANTAN SELATAN,420086,423884
KALIMANTAN TIMUR,92982,89769
KALIMANTAN UTARA,-,-
SULAWESI UTARA,64605,59393
SULAWESI TENGAH,121670,120049
SULAWESI SELATAN,619084,626634
SULAWESI TENGGARA,66939,69432
GORONTALO,27598,25955
SULAWESI BARAT,-,-
MALUKU,8401,8542
MALUKU UTARA,11867,11867
PAPUA BARAT,4719,6290
PAPUA,36021,36021
INDONESIA,7876565,7844292
